episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,avg_power,execution_time,test,algorithm,cluster,replicas,config,acceptance_rate
6,41.63,0.09,91.0,9.0,8.0,83.0,0.0,0.0,401.42,49.64,8.33,0.74,73.85,0.11,DQN_c8_r8,DQN,8,8,c8_r8,0.91
7,35.0,0.05,95.0,5.0,45.0,50.0,0.0,0.0,530.59,64.0,10.6,0.62,150.0,0.09,DQN_c8_r8,DQN,8,8,c8_r8,0.95
8,23.61,0.17,83.0,17.0,1.0,82.0,0.0,0.0,392.26,61.96,8.08,0.79,92.0,0.11,DQN_c8_r8,DQN,8,8,c8_r8,0.83
9,40.88,0.03,97.0,3.0,46.0,51.0,0.0,0.0,500.57,63.9,11.84,0.7,108.0,0.09,DQN_c8_r8,DQN,8,8,c8_r8,0.97
10,39.86,0.11,89.0,11.0,9.0,80.0,0.0,0.0,392.71,48.63,13.62,0.75,69.68,0.11,DQN_c8_r8,DQN,8,8,c8_r8,0.89
11,23.58,0.19,81.0,19.0,3.0,78.0,0.0,0.0,296.86,60.46,9.59,0.78,88.8,0.11,DQN_c8_r8,DQN,8,8,c8_r8,0.81
12,40.4,0.12,88.0,12.0,2.0,86.0,0.0,0.0,378.96,42.29,8.02,0.74,72.0,0.12,DQN_c8_r8,DQN,8,8,c8_r8,0.88
13,31.54,0.14,86.0,14.0,4.0,82.0,0.0,0.0,300.03,60.84,8.61,0.75,86.5,0.11,DQN_c8_r8,DQN,8,8,c8_r8,0.86
14,33.71,0.16,84.0,16.0,10.0,74.0,0.0,0.0,411.83,42.75,10.15,0.72,65.0,0.11,DQN_c8_r8,DQN,8,8,c8_r8,0.84
15,30.68,0.13,87.0,13.0,5.0,82.0,0.0,0.0,394.83,61.58,9.64,0.77,81.5,0.11,DQN_c8_r8,DQN,8,8,c8_r8,0.87
16,45.84,0.09,91.0,9.0,5.0,86.0,0.0,0.0,386.9,41.72,10.17,0.71,66.79,0.12,DQN_c8_r8,DQN,8,8,c8_r8,0.91
17,26.6,0.18,82.0,18.0,3.0,79.0,0.0,0.0,338.17,57.86,7.96,0.74,83.63,0.11,DQN_c8_r8,DQN,8,8,c8_r8,0.82
18,39.66,0.12,88.0,12.0,2.0,86.0,0.0,0.0,396.51,41.64,10.87,0.75,69.0,0.11,DQN_c8_r8,DQN,8,8,c8_r8,0.88
19,27.4,0.19,81.0,19.0,7.0,74.0,0.0,0.0,437.96,42.52,10.13,0.75,70.5,0.11,DQN_c8_r8,DQN,8,8,c8_r8,0.81
20,41.87,0.09,91.0,9.0,6.0,85.0,0.0,0.0,441.77,48.67,10.6,0.75,65.5,0.12,DQN_c8_r8,DQN,8,8,c8_r8,0.91
21,35.88,0.04,96.0,4.0,59.0,37.0,0.0,0.0,648.8,64.0,10.96,0.53,170.65,0.08,DQN_c8_r8,DQN,8,8,c8_r8,0.96
22,33.23,0.1,90.0,10.0,26.0,64.0,0.0,0.0,432.97,63.84,9.32,0.7,102.5,0.1,DQN_c8_r8,DQN,8,8,c8_r8,0.9
23,31.18,0.1,90.0,10.0,20.0,70.0,0.0,0.0,491.63,61.55,8.43,0.7,138.41,0.1,DQN_c8_r8,DQN,8,8,c8_r8,0.9
24,38.67,0.1,90.0,10.0,9.0,81.0,0.0,0.0,355.57,56.42,7.94,0.71,96.01,0.11,DQN_c8_r8,DQN,8,8,c8_r8,0.9
25,61.21,0.06,94.0,6.0,44.0,50.0,0.0,0.0,470.96,17.14,17.81,0.53,52.53,0.1,DQN_c8_r8,DQN,8,8,c8_r8,0.94
