episode,ep_accepted_requests,ep_rejected_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,avg_power,execution_time,test,algorithm,cluster,replicas,config,acceptance_rate
1,214.0,36.0,662.33,24.18,15.94,0.21,74.53,0.13,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.856
2,214.0,36.0,668.4,22.98,14.93,0.21,71.41,0.14,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.856
3,215.0,35.0,671.26,22.36,15.31,0.14,71.0,0.09,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.86
4,220.0,30.0,680.29,22.25,15.31,0.19,71.0,0.09,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.88
5,216.0,34.0,660.37,22.0,13.75,0.12,71.79,0.11,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.864
6,213.0,37.0,667.3,22.39,15.93,0.24,71.12,0.1,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.852
7,217.0,33.0,672.92,22.15,15.72,0.21,71.0,0.11,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.868
8,214.0,36.0,678.45,21.91,15.39,0.14,71.0,0.11,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.856
9,212.0,38.0,678.15,21.98,15.48,0.21,78.54,0.1,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.848
10,218.0,32.0,677.83,22.1,14.63,0.22,71.0,0.1,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.872
11,215.0,35.0,678.52,22.22,14.44,0.19,72.61,0.11,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.86
12,198.0,52.0,676.95,22.26,16.07,0.18,71.0,0.09,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.792
13,220.0,30.0,671.93,22.2,13.55,0.17,71.0,0.1,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.88
14,212.0,38.0,675.47,22.35,13.72,0.26,71.0,0.09,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.848
15,211.0,39.0,672.67,22.32,16.18,0.21,71.0,0.1,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.844
16,221.0,29.0,672.28,22.3,14.76,0.18,73.41,0.09,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.884
17,206.0,44.0,672.13,22.22,15.12,0.24,71.12,0.09,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.824
18,214.0,36.0,671.55,22.23,15.12,0.18,71.0,0.1,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.856
19,215.0,35.0,671.89,22.19,15.69,0.19,71.06,0.09,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.86
20,212.0,38.0,673.2,22.37,13.09,0.21,71.03,0.1,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.848
21,222.0,28.0,670.93,22.38,16.1,0.22,71.0,0.09,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.888
22,217.0,33.0,671.53,22.37,14.19,0.17,71.01,0.09,MPMOQ_c8_r8,MPMOQ,8,8,c8_r8,0.868
